timestamp,area_mm2,thickness_mm,volume_mm3
2025-05-09 08:00:00,1275.2058119950889,6.981329635435508,8902.632126560915
2025-05-09 09:00:00,1367.2274256924961,8.277985449575947,11317.888736143663
2025-05-09 10:00:00,1379.5473147663292,8.40703002532256,11597.895696593643
2025-05-09 11:00:00,1400.9793330172372,8.469090397524017,11865.020616385886
2025-05-09 12:00:00,1417.6570706425287,8.490614574540778,12036.77978569824
2025-05-09 13:00:00,1418.54432337993,8.571345311306725,12158.833235083333
2025-05-09 14:00:00,1447.9311214925135,8.521966316974156,12339.220246657815
2025-05-09 15:00:00,1513.3206317464862,8.460830419229069,12803.949235127622
2025-05-09 16:00:00,1525.9019046054784,8.496663853048757,12965.075556159622
2025-05-09 17:00:00,1747.8588500376227,8.662647212508542,15141.084595136797
2025-05-09 18:00:00,1840.7502908867539,8.610675670243982,15850.103744733104
2025-05-09 19:00:00,1894.1756844411377,8.591121025764702,16273.092549094503
2025-05-09 20:00:00,1908.393510221654,8.54264640861771,16302.730966324358
2025-05-09 21:00:00,1914.3545126554216,8.649704570119379,16558.600976944257
2025-05-09 22:00:00,1930.3076363429664,8.62438200892319,16647.710450563325
2025-05-09 23:00:00,1984.854075909255,8.411491619438081,16695.583425318215
2025-05-10 00:00:00,1993.3795437018616,8.290807508340368,16526.72608789549
2025-05-10 01:00:00,2012.7640556356896,8.283672977209696,16673.079217168353
2025-05-10 02:00:00,2179.480442338734,8.23570079183247,17949.548804752492
2025-05-10 03:00:00,2209.3043322253893,8.188331524578963,18090.51631095003
2025-05-10 04:00:00,2226.7110401848468,8.195385666626473,18248.75574244982
2025-05-10 05:00:00,2244.766851210783,8.207042083685037,18422.896015948045
2025-05-10 06:00:00,2245.4479011843364,8.2581494433056,18543.244335137155
2025-05-10 07:00:00,2258.3675208318955,8.191848546967323,18500.204694044958
2025-05-10 08:00:00,2269.900354285972,8.133064029904741,18461.244922911264
2025-05-10 09:00:00,2270.0383068392503,8.199244342618274,18612.598744878487
2025-05-10 10:00:00,2273.42903538562,8.358093170947386,19001.531695290054
