frame_idx,timestamp,day_float,count,diam_mean_mm,diam_std_mm,vel_mean_mm_s,count_smooth
93,2025-05-11 12:00:00,3.875,198,1.9737955949218462,0.7992222843419242,0.00034175807139640485,146.6
94,2025-05-11 13:00:00,3.9166666666666665,131,1.944065766861227,0.7428827039996728,0.0011049641848744887,143.4
95,2025-05-11 14:00:00,3.9583333333333335,133,1.9003253944580492,0.7939829183390376,0.001953514486469294,124.6
96,2025-05-11 15:00:00,4.0,89,2.0336631543863315,0.7327441407900354,0.0005083313556350652,106.6
97,2025-05-11 16:00:00,4.041666666666667,72,1.929337995900157,0.7195833349398352,0.0008087892873784324,85.6
98,2025-05-11 17:00:00,4.083333333333333,108,1.9393866312954704,0.7811481088755855,0.0010183836815977482,74.4
99,2025-05-11 18:00:00,4.125,26,2.012818966876606,0.8183637729730461,0.001419373111061375,64.8
100,2025-05-11 19:00:00,4.166666666666667,77,1.898017573888791,0.7390989177949112,0.0006387973426233628,70.6
101,2025-05-11 20:00:00,4.208333333333333,41,2.1322714131518503,0.762841934561723,0.0015327895255214542,67.8
102,2025-05-11 21:00:00,4.25,101,1.8959088722088178,0.7790945878123542,0.0002261820481742429,101.0
103,2025-05-11 22:00:00,4.291666666666667,94,1.8908538603436376,0.6882673631004745,0.00035288631477421153,120.2
104,2025-05-11 23:00:00,4.333333333333333,192,1.9764409743156885,0.8084173917318324,0.00047524948051410454,122.6
105,2025-05-12 00:00:00,4.375,173,1.993463391717648,0.8231173724474703,0.000640038129075444,139.2
106,2025-05-12 01:00:00,4.416666666666667,53,2.1363778044224615,0.7892880223467239,0.00113967480862712,144.4
107,2025-05-12 02:00:00,4.458333333333333,184,2.0092901818715627,0.7903752752280934,0.0002617751111732143,122.2
108,2025-05-12 03:00:00,4.5,120,2.0659994372764183,0.7428273181578079,0.000737933907793778,126.8
109,2025-05-12 04:00:00,4.541666666666667,81,1.8429941658367242,0.8139291713966356,0.0019720657003768514,136.2
110,2025-05-12 05:00:00,4.583333333333333,196,1.9631752375374365,0.774202062906714,0.0004319526683165521,147.0
111,2025-05-12 06:00:00,4.625,100,1.9968648257566621,0.7651731749257584,0.0006475286952800152,176.2
112,2025-05-12 07:00:00,4.666666666666667,238,1.9551773440595344,0.8144720835488489,0.001344106523462211,195.0
113,2025-05-12 08:00:00,4.708333333333333,266,1.9837366236041085,0.7891234053095598,0.00035296288367191213,192.6
114,2025-05-12 09:00:00,4.75,175,1.9079774680884052,0.805838350805974,0.0005189278191231924,184.8
115,2025-05-12 10:00:00,4.791666666666667,184,1.9870084251254334,0.7615963965223679,0.0007492188175154333,187.8
116,2025-05-12 11:00:00,4.833333333333333,61,1.733636703283235,0.7960267995991649,0.0016985285039929207,195.0
117,2025-05-12 12:00:00,4.875,253,2.0032133391226186,0.8356355726003476,0.00032653912941728346,180.4
118,2025-05-12 13:00:00,4.916666666666667,302,1.9177587736565511,0.7724926926804341,0.00044713250569323765,169.4
119,2025-05-12 14:00:00,4.958333333333333,102,1.9293379959001569,0.7741401680528146,0.0014111069035010488,178.2
120,2025-05-12 15:00:00,5.0,129,2.043378323177201,0.8056616583233001,0.0006607580226582772,137.2
121,2025-05-12 16:00:00,5.041666666666667,105,1.9867587695876618,0.7660972805304516,0.0005257119425102335,91.8
122,2025-05-12 17:00:00,5.083333333333333,48,1.959483902086097,0.8327039260179149,0.0005046087902675383,89.0
123,2025-05-12 18:00:00,5.125,75,1.9068290526146547,0.8229643683286333,0.0008530687283389673,96.8
124,2025-05-12 19:00:00,5.166666666666667,88,2.004702761365007,0.8400259792531994,0.00038569125672959723,117.8
125,2025-05-12 20:00:00,5.208333333333333,168,1.8439245950399936,0.7700189846470431,0.0003085645776011282,120.2
